epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.72683,1.1157,4.07979,1.02396,0.00886,0.71061,0.07643,0.04704,0.63036,3.92876,0.77818,0.00013332,0.00013332,0.00013332
2,11.503,0.75986,2.30272,0.90869,0.00499,0.66632,0.1676,0.13259,0.58101,3.88233,0.77689,0.000275,0.000275,0.000275
3,15.08,0.68308,1.71585,0.88688,0.00556,0.70965,0.24735,0.18026,0.56409,3.73172,0.80892,0.000413821,0.000413821,0.000413821
4,20.0082,0.68248,1.34618,0.87548,1,0.11084,0.40698,0.28431,0.56529,3.55722,0.80852,0.000549782,0.000549782,0.000549782
5,24.54,0.61154,1.20666,0.86728,0.00616,0.83238,0.68947,0.59622,0.55548,3.25358,0.83746,0.000682883,0.000682883,0.000682883
6,28.5119,0.58635,1.08649,0.86617,1,0.22247,0.84927,0.74242,0.53483,2.83136,0.83747,0.000813124,0.000813124,0.000813124
7,32.9765,0.57945,0.97743,0.87735,1,0.31952,0.88244,0.74789,0.54353,2.64744,0.84696,0.000940506,0.000940506,0.000940506
8,36.921,0.58953,0.91192,0.84664,0.95053,0.82404,0.9333,0.81096,0.52743,1.81129,0.83918,0.00103401,0.00103401,0.00103401
9,40.5767,0.60633,0.93045,0.85931,0.9634,0.87251,0.96477,0.80934,0.57092,1.23327,0.84651,0.00102301,0.00102301,0.00102301
10,44.8806,0.5742,0.92048,0.85655,0.92387,0.94797,0.97037,0.8299,0.54801,1.10088,0.84753,0.00101201,0.00101201,0.00101201
11,49.1132,0.55013,0.81386,0.85215,0.88157,0.94002,0.96364,0.81243,0.54001,0.88496,0.87146,0.00100101,0.00100101,0.00100101
12,52.7142,0.5717,0.85767,0.86563,0.9069,0.9515,0.97201,0.82708,0.53362,0.86727,0.84298,0.000990012,0.000990012,0.000990012
13,56.4432,0.5577,0.75001,0.85081,0.90334,0.96191,0.9728,0.83733,0.48281,0.81894,0.82831,0.000979013,0.000979013,0.000979013
14,60.9616,0.54328,0.73969,0.85251,0.9281,0.9606,0.97506,0.8367,0.47582,0.75464,0.8357,0.000968014,0.000968014,0.000968014
15,64.5611,0.52017,0.69561,0.84286,0.97703,0.93324,0.98302,0.85261,0.48734,0.77173,0.8445,0.000957015,0.000957015,0.000957015
16,68.171,0.51907,0.71885,0.8479,0.98493,0.95263,0.98493,0.81791,0.52042,0.70235,0.86162,0.000946016,0.000946016,0.000946016
17,72.8716,0.53598,0.711,0.84459,0.97706,0.93299,0.98583,0.85383,0.46586,0.66692,0.85678,0.000935018,0.000935018,0.000935018
18,76.5838,0.52176,0.68414,0.84796,0.98589,0.96962,0.99359,0.84744,0.47186,0.70445,0.84041,0.000924019,0.000924019,0.000924019
19,80.1736,0.53308,0.7256,0.86815,0.98637,0.97204,0.99263,0.83056,0.49853,0.62679,0.86886,0.00091302,0.00091302,0.00091302
20,84.3554,0.49907,0.67339,0.84753,0.98761,0.98078,0.98933,0.8402,0.49182,0.60138,0.86171,0.000902021,0.000902021,0.000902021
21,88.5839,0.51089,0.63653,0.84963,0.98435,0.98088,0.99291,0.86006,0.46099,0.58334,0.84708,0.000891022,0.000891022,0.000891022
22,92.0055,0.4776,0.66689,0.84961,0.9694,0.95681,0.99016,0.8664,0.44152,0.57836,0.84807,0.000880023,0.000880023,0.000880023
23,95.7313,0.48957,0.64099,0.82814,0.95471,0.96543,0.99222,0.84934,0.44068,0.5555,0.85194,0.000869024,0.000869024,0.000869024
24,100.183,0.50669,0.61141,0.85095,0.97311,0.96424,0.9934,0.88343,0.43933,0.58011,0.83461,0.000858025,0.000858025,0.000858025
25,103.92,0.49822,0.59303,0.86211,0.97835,0.98896,0.99351,0.87023,0.43659,0.55008,0.83861,0.000847026,0.000847026,0.000847026
26,107.251,0.48109,0.57445,0.8325,0.98387,0.98514,0.99274,0.87055,0.43564,0.56832,0.833,0.000836027,0.000836027,0.000836027
27,111.848,0.49668,0.56311,0.85499,0.97349,0.96228,0.99052,0.86507,0.4209,0.55498,0.82878,0.000825029,0.000825029,0.000825029
28,115.564,0.49603,0.55202,0.84918,0.97277,0.98967,0.99331,0.86422,0.4344,0.55667,0.84886,0.00081403,0.00081403,0.00081403
29,119.218,0.47268,0.54003,0.83813,0.9787,0.98757,0.99425,0.87017,0.41357,0.49487,0.84382,0.000803031,0.000803031,0.000803031
30,123.316,0.46427,0.52778,0.82732,0.97244,0.98842,0.99479,0.87693,0.46068,0.5112,0.85888,0.000792032,0.000792032,0.000792032
31,127.462,0.46034,0.51101,0.82441,0.98929,0.98963,0.9946,0.87758,0.45021,0.49059,0.85273,0.000781033,0.000781033,0.000781033
32,131.17,0.47293,0.53107,0.8399,0.97239,0.99118,0.99479,0.86384,0.42616,0.47012,0.8434,0.000770034,0.000770034,0.000770034
33,134.68,0.44128,0.48799,0.83375,0.99434,0.99027,0.995,0.87638,0.42943,0.46567,0.84385,0.000759035,0.000759035,0.000759035
34,139.218,0.45159,0.50949,0.81719,0.98359,0.98992,0.99479,0.87812,0.41246,0.46147,0.84582,0.000748036,0.000748036,0.000748036
35,142.876,0.44934,0.49103,0.8379,0.99049,0.97785,0.99479,0.88154,0.41304,0.45618,0.84465,0.000737037,0.000737037,0.000737037
36,146.356,0.44336,0.48646,0.82866,0.97508,0.9868,0.99381,0.88114,0.42729,0.4673,0.84964,0.000726038,0.000726038,0.000726038
37,150.671,0.45297,0.46716,0.82397,0.98659,0.9902,0.9946,0.87817,0.41467,0.44457,0.85438,0.00071504,0.00071504,0.00071504
